Accepted Symbol,Synonym Symbol,Scientific Name,Common Name,Growth Habit
AGCRP8,,Agropyron cristatum (L.) Gaertn. ssp. pectinatum (M. Bieb.) Tzvelev,crested wheatgrass,Graminoid
AGCRP8,AGPE5,Agropyron pectiniforme Roem. & Schult.,,Graminoid
AGCRP8,AGCR3,Agropyron cristatiforme Sarkar,,Graminoid
AGCRP8,AGPE6,Agropyron pectinatum (M. Bieb.) P. Beauv.,,Graminoid
AGCRI,,Agropyron cristatum (L.) Gaertn. ssp. pectinatum (M. Bieb.) Tzvelev var. imbricatum (Roem. & Schult.) Beck,,Graminoid
AGCRI,AGIM2,Agropyron imbricatum Roem. & Schult.,,Graminoid
AGDE2,,Agropyron desertorum (Fisch. ex Link) Schult.,desert wheatgrass,Graminoid
AGDE2,AGCRD,Agropyron cristatum (L.) Gaertn. ssp. desertorum (Fisch. ex Link) Á. Löve,,Graminoid
AGDE2,AGCRD2,Agropyron cristatum (L.) Gaertn. var. desertorum (Fisch. ex Link) Dorn,,Graminoid
AGFR,AGCRF2,Agropyron cristatum (L.) Gaertn. var. fragile (Roth) Dorn,,Graminoid
AGFR,AGMO6,Agropyron mongolicum Keng,,Graminoid
AGFR,,Agropyron fragile (Roth) P. Candargy,Siberian wheatgrass,Graminoid
AGFR,AGFRM,Agropyron fragile (Roth) P. Candargy ssp. mongolicum (Keng) D.R. Dewey,,Graminoid
AGFR,AGFRS,Agropyron fragile (Roth) P. Candargy ssp. sibiricum (Willd.) Melderis,,Graminoid
AGFR,AGCRF,Agropyron cristatum (L.) Gaertn. ssp. fragile (Roth) Á. Löve,,Graminoid
AGFR,AGFRS2,Agropyron fragile (Roth) P. Candargy var. sibiricum (Willd.) Tzvelev,,Graminoid
AGFR,AGSI,Agropyron sibiricum (Willd.) P. Beauv.,,Graminoid
AGAE,,Agrostis aequivalvis (Trin.) Trin.,arctic bentgrass,Graminoid
AGAE,POAE,Podagrostis aequivalvis (Trin.) Scribn. & Merr.,,Graminoid
AGAN6,,Agrostis anadyrensis Socz. [excluded],,Graminoid
AGAV,,Agrostis avenacea J.F. Gmel.,Pacific bentgrass,Graminoid
AGAV,LAFI3,Lachnagrostis filiformis (G. Forst.) Trin.,,Graminoid
AGAV,AGRE5,Agrostis retrofracta Willd.,,Graminoid
AGBL,,Agrostis blasdalei Hitchc.,Blasdale bentgrass,Graminoid
AGBL,AGBR3,Agrostis breviculmis auct. non Hitchc.,,Graminoid
AGBL,AGBLM,Agrostis blasdalei Hitchc. var. marinensis Crampton,,Graminoid
AGCA4,,Agrostis canina L.,velvet bentgrass,Graminoid
AGCA4,AGCAV,Agrostis canina L. var. varians (Thuill.) Ducomm.,,Graminoid
AGCA5,AGSY2,Agrostis sylvatica Huds.,,Graminoid
AGCA5,AGTEA,Agrostis tenuis Sibth. var. aristata (Parnell) Druce,,Graminoid
AGCA5,,Agrostis capillaris L.,colonial bentgrass,Graminoid
AGCA5,AGTE,Agrostis tenuis Sibth.,,Graminoid
AGCA5,AGTEH,Agrostis tenuis Sibth. var. hispida (Willd.) Philipson,,Graminoid
AGCA5,AGVU2,Agrostis vulgaris With.,,Graminoid
AGCA5,AGTEP,Agrostis tenuis Sibth. var. pumila (L.) Druce,,Graminoid
AGCA11,,Agrostis castellana Boiss. & Reuter,bentgrass,Graminoid
AGCL,,Agrostis clavata Trin.,clavate bentgrass,Graminoid
AGCL2,,Agrostis clivicola Crampton,coastal bluff bentgrass,Graminoid
AGCLC,,Agrostis clivicola Crampton var. clivicola,coastal bluff bentgrass,Graminoid
AGCLP,,Agrostis clivicola Crampton var. punta-reyesensis,Point Reyes bentgrass,Graminoid
AGCU4,,Agrostis curtisii Kerguelen,bristle bent,Graminoid
AGCU4,AGSE6,Agrostis setacea Curtis,,Graminoid
